tuningRunId,eventKey,eventName,kind,label,objectiveLoss,winnerAccuracy,brierScore,scoreMae,marginMae,earlyEventAccuracy,overconfidenceRate,calibrationError,upsetMissRate,outputDir
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,baseline,baseline,57.616328,0.763,0.177,68.03,98.55,0.75,0.0641025641025641,0.14966998556998556,0.1794871794871795,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-baseline
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-priorWeight-0.88,64.580279,0.707,0.185,68.4,100.5,0.5789473684210527,0.08974358974358974,0.14102669552669553,0.21794871794871795,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-priorWeight-0.88
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-priorWeight-1.12,72.877756,0.667,0.211,69.65,105.22,0.4117647058823529,0.1282051282051282,0.13396792929292925,0.20512820512820512,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-priorWeight-1.12
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-liveEvidenceWeight-0.24,66.680385,0.732,0.207,69.94,111.22,0.5,0.10256410256410256,0.10852343893480257,0.1794871794871795,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-liveEvidenceWeight-0.24
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-liveEvidenceWeight-0.4,64.660683,0.725,0.193,69.45,101.51,0.4444444444444444,0.08974358974358974,0.10712987012987009,0.15384615384615385,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-liveEvidenceWeight-0.4
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-recencyHalfLifeMatches-1.2,58.656135,0.736,0.173,69.03,101.35,0.7647058823529411,0.07692307692307693,0.12896386946386948,0.20512820512820512,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-recencyHalfLifeMatches-1.2
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-recencyHalfLifeMatches-2.8,63.426359,0.718,0.188,70.23,105.51,0.6111111111111112,0.05128205128205128,0.13416999212908304,0.21794871794871795,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-recencyHalfLifeMatches-2.8
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-marginConfidenceScale-35,63.267613,0.747,0.19,69.28,103.12,0.5789473684210527,0.08974358974358974,0.1415645021645022,0.21794871794871795,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-marginConfidenceScale-35
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-marginConfidenceScale-49,59.926883,0.74,0.183,68.39,102.76,0.7368421052631579,0.07692307692307693,0.1337902925357471,0.1794871794871795,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-marginConfidenceScale-49
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-scoreScaleCorrection-0.94,60.431462,0.733,0.181,68.86,104,0.65,0.08974358974358974,0.0929608585858586,0.19230769230769232,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-scoreScaleCorrection-0.94
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-scoreScaleCorrection-1.06,71.26811,0.676,0.208,72.7,106.22,0.5555555555555556,0.1282051282051282,0.15227254689754688,0.21794871794871795,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-scoreScaleCorrection-1.06
sft-tune-2026-20260628T111818-20260628,2026ilpe,Central Illinois Regional,candidate,p1-defenseImpactWeight-0.44,63.380306,0.708,0.189,68.13,104.56,0.6111111111111112,0.08974358974358974,0.11089728453364814,0.15384615384615385,/Users/leoxu/Library/CloudStorage/OneDrive-YKPaoSchool上海民办包玉刚实验学校/FRC2025-26/Scouting/2026-frc-scout/SyntheticFullSystemTest/artifacts/sft-tune-2026-20260628T111818-20260628/2026ilpe-p1-defenseImpactWeight-0.44
