tuningRunId,eventKey,pass,variable,oldValue,newValue,status,reason,objectiveLoss,winnerAccuracy,brierScore
sft-tune-2026-20260628T111818-20260628,2026ilpe,1,priorWeight,1,1,held,no-objective-improvement,57.616328,0.763,0.177
sft-tune-2026-20260628T111818-20260628,2026ilpe,1,liveEvidenceWeight,0.32,0.32,held,no-objective-improvement,57.616328,0.763,0.177
sft-tune-2026-20260628T111818-20260628,2026ilpe,1,recencyHalfLifeMatches,2,2,held,no-objective-improvement,57.616328,0.763,0.177
sft-tune-2026-20260628T111818-20260628,2026ilpe,1,marginConfidenceScale,42,42,held,no-objective-improvement,57.616328,0.763,0.177
sft-tune-2026-20260628T111818-20260628,2026ilpe,1,scoreScaleCorrection,1,1,held,no-objective-improvement,57.616328,0.763,0.177
sft-tune-2026-20260628T111818-20260628,2026ilpe,1,defenseImpactWeight,0.6,0.6,held,no-objective-improvement,57.616328,0.763,0.177
sft-tune-2026-20260628T111818-20260628,2026ilpe,1,reliabilityWeight,18,18,held,no-objective-improvement,57.616328,0.763,0.177
sft-tune-2026-20260628T111818-20260628,2026ilpe,1,scoutNoisePenalty,0,0,held,no-objective-improvement,57.616328,0.763,0.177
sft-tune-2026-20260628T111818-20260628,2026ilpe,1,upsetSensitivity,0,0,held,no-objective-improvement,57.616328,0.763,0.177
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,priorWeight,1,1.06,changed,objective-improved,56.105681,0.786,0.173
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,liveEvidenceWeight,0.32,0.32,held,no-objective-improvement,56.105681,0.786,0.173
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,liveEvidenceWeight,0.32,0.32,converged,step-or-no-change-threshold,56.105681,0.786,0.173
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,recencyHalfLifeMatches,2,1.6,changed,objective-improved,55.597305,0.75,0.166
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,marginConfidenceScale,42,42,held,no-objective-improvement,55.597305,0.75,0.166
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,marginConfidenceScale,42,42,converged,step-or-no-change-threshold,55.597305,0.75,0.166
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,scoreScaleCorrection,1,1,held,no-objective-improvement,55.597305,0.75,0.166
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,scoreScaleCorrection,1,1,converged,step-or-no-change-threshold,55.597305,0.75,0.166
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,defenseImpactWeight,0.6,0.6,held,no-objective-improvement,55.597305,0.75,0.166
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,defenseImpactWeight,0.6,0.6,converged,step-or-no-change-threshold,55.597305,0.75,0.166
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,reliabilityWeight,18,18,held,no-objective-improvement,55.597305,0.75,0.166
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,reliabilityWeight,18,18,converged,step-or-no-change-threshold,55.597305,0.75,0.166
sft-tune-2026-20260628T111818-20260628,2026ilpe,2,scoutNoisePenalty,0,0,held,no-objective-improvement,55.597305,0.75,0.166
