cleaned_scouting_data
Scout Name,Notes,Team Number,Team Name,Drivetrain,Gear Ratio,Speed,Width (mm),Length (mm),Weight (kg),Can Climb,Climb Speed/Note,Auto Level,Feature A,Turret Type,Count,Turret Angle,Shot Rate,Shooting Area,Feature B,Stat C,Experience,Intake Source
Roger Wei,'',10000(test),Neutron star,None,None,None,'','','',Yes,100(test),L1,No,Rotating,1.0,120,2,All areas,No,None,2nd Year,Floor;depot;
Yu Sophia,'',8810,SFLS,Swerve,10,10,'','',51.66,Yes,30,L1,No,Rotating,1.0,'',10bps,Specific positions,Yes,100,2nd Year,Floor;
Chen Charlotte,'',6414,voyager,swerve,6:72,1.5-1.75,508.0,508.0,30.0,Yes,25 Yes,L1,No,Rotating,2.0,Yes,8,All areas,Yes,125,2nd Year,Floor;depot;HP;
Yu Sophia,'',9421,Nexus,Swerve,'','','','',35.0,Yes,20,L1,No,Rotating,2.0,None,None,Specific positions,Yes,None,2nd Year,Floor;
Ding Olivia,'',6487,Clockwork knights,swerve,None,None,'','','',Yes,40,L1,No,Rotating,1.0,360,8,All areas,Yes,250,2nd Year,Floor;depot;
Chen Charlotte,'',6494,liberty,swerve,L2,None,685.0,685.0,48.0,Yes,30-40,L1,Yes,Rotating,2.0,Rotating,None,All areas,Yes,100,1st Year,Floor;depot;HP;
Xu Leonard,'',10479,Powerhouse,Swerve,7.54:1,4,690.0,690.0,52.16,Yes,40,None,No,Rotating,1.0,360,7,All areas,Yes,150,1st Year,Floor;depot;HP;
Yu Sophia,'',9597,Libyan robotics,Swerve,1/100,6,648.0,654.0,51.0,Yes,50,L1,Yes,Rotating,1.0,None,9,All areas,Yes,300,2nd Year,Floor;depot;HP
Chen Charlotte,'',6304,eagle,swerve,1：4,5,650.0,650.0,47.0,Yes,30,L1,No,Rotating,1.0,360,6,All areas,Yes,None,1st Year,Floor;depot
Chen Charlotte,'',6353,EFZ Robotics,swerve,Manually rotated？。,3-4,695.2,695.2,'',Yes,20,None,No,Rotating,1.0,None,None,Specific positions,No,None,1,Floor;depot;HP
Shen Lucas,'',10120,Royal turtles,Swerve,6.49,4m/s,680.0,680.0,51.0,Yes,35-45,L1,Yes,Rotating,1.0,'',3,All areas,Yes,90-120+,2nd Year,HP;Floor
Xu Leonard,'',5449,Prototype,Swerve 5i,None,None,840.0,840.0,30.0,Yes,20,None,No,Rotating,1.0,360,None,All areas,Yes,None,1,Floor;depot;HP
Chen Charlotte,'',6399,？,swerve,None,None,600.0,600.0,'',Yes,25,None,No,Rotating,1.0,None,None,Specific positions,No,None,2,Floor
Xu Leonard,'',5515,Blue Power Robotics,MK4N swerve,1:5.6,7.5,900.0,900.0,50.0,Yes,25,None,No,Rotating,1.0,240,5,Specific positions,Yes,None,2,Floor;HP;depot
Chen Charlotte,'',6394,Mito,tank,None,None,720.0,640.0,39.01,Yes,25,None,No,Rotating,1.0,300,None,Specific positions,Yes,None,1,Floor
Yu Sophia,'',9635,Cyber rabbit,swerve,None,None,500.0,500.0,50.0,Yes,45,None,No,Rotating,4.0,None,18,Specific positions,Yes,250-300,3,Floor;depot;HP
Xu Leonard,'',5516,Iron Maple,Mk4n,None,8.5,700.0,700.0,52.0,Yes,54,L1,No,Rotating,1.0,0,None,All areas,Yes,100,6,Floor;depot;HP
Shen Lucas,'',10526,wlsa robotics team,Swerve,'','',700.0,700.0,50.0,Yes,A lot,None,No,Rotating,1.0,360,'',All areas,No,'',4,Floor;HP
Ding Olivia,'',6433,Hz4z,swerve,None,None,255.0,255.0,'',Yes,10-20,L1,No,Rotating,1.0,None,None,Fixed position,No,None,2nd Year,Floor;depot;HP
Wang Justin,'',8806,OLPDL,Swerve,5.27:1,5,295.0,250.0,51.0,Yes,50,L1,No,Rotating,1.0,360,4,All areas,Yes,150,1,Floor;depot;HP
Ding Olivia,'',6706,golem,swerve,None,None,'','',45.0,Yes,65,L1,No,Rotating,1.0,None,None,Specific positions,Yes,200,2nd Year,Floor;depot;HP
Qian Eason,'',6907,G.O.A.T.,swerve,MK5N,'',600.0,700.0,48.53,Yes,60-70(Full，trench),None,No,Rotating,1.0,'',4,All areas,No,150,2,Floor;depot
Roger Wei,'',11256,Satellites,Tank,TBD（No test data）,TBD（No test data）,1220.0,1220.0,30.0,Yes,28-30,None,No,Rotating,4.0,'',2,Fixed position,Yes,70-100,1,Floor
Xu Leonard,'',5522,Stargazer,Swerve mk5n,3:1,3.8,500.0,500.0,52.0,Yes,40,None,No,Rotating,1.0,0,15,Specific positions,Yes,110,2,Floor;depot;HP
Wang Justin,'',7601,Shenzhen unity stallion,Swerve,1: 6.5,2,700.0,700.0,'',Yes,30,None,No,Rotating,1.0,0,None,All areas,No,'',1,Floor;depot
Qian Eason,'',6941,CarbonPulse Robotics,MK5N,'','',5000.0,5000.0,50.0,Yes,40,L1,Yes,Rotating,'',360,'',All areas,No,200,'',HP;Floor
Shen Lucas,'',10016,absolute zero,Swerve,'','',840.0,820.0,'',Yes,20-30,L3,Yes,Rotating,'','','',Specific positions,Yes,'',2,Floor
Wang Justin,'',8011,8011,None,17.1,None,'','','',Yes,45,L1,No,Rotating,3.0,Fixed,4-5,Fixed position,Yes,Not tested,3,None
Qian Eason,'',6940,VioletZ,MK5N,'','','','',50.8,Yes,35,None,No,Rotating,'',480,4-5,All areas,Yes,'','',depot;HP;Floor
Qian Eason,'',6986,PPTbots,swerve,'','','','',52.16,Yes,30,None,No,Rotating,'','','',All areas,Yes,'','',Floor
Xu Leonard,'',5849,Joker,Tank,'',3,660.0,670.0,35.0,Yes,30,L1,No,Rotating,1.0,0,2,Specific positions,No,40,2,Floor;depot;HP
Xu Leonard,'',5823,ACE,Swerve,None,None,700.0,700.0,52.0,Yes,35,None,No,Rotating,2.0,0,15,All areas,No,None,3,Floor;depot;HP
Shen Lucas,'',10214,Team doriotos,mk4n,5.9,'',750.0,640.0,'',Yes,35,None,No,Rotating,1.0,'','',All areas,Yes,'',2,Floor;HP
Shen Lucas,'',10131,Royal turtles,Swerve,'','','','',51.0,Yes,60-70,L1,Yes,Rotating,1.0,'',None,Fixed position,Yes,'',3,Floor;depot;HP
Qian Eason,'',7002,None,swerve,'','','','',37.0,Yes,20-30,None,No,Rotating,'','','',All areas,No,'','',Floor
Roger Wei,'',11118,The Baybies,Swerve,None,None,1220.0,1220.0,45.0,Yes,30-35,L1,No,Rotating,3.0,0,5-6,Fixed position,No,150,1,Floor;depot;HP
Qian Eason,'',7594,Nautilus,swerve,'','','','',51.71,Yes,40-45,None,No,Rotating,'','',8,All areas,Yes,'','',Floor
Roger Wei,'',10711,FORMSHOP,Swerve,2:1,4,818.0,563.0,50.0,Yes,40,None,No,Rotating,2.0,None,12-13,All areas,Yes,100,1,Floor;depot;HP
Roger Wei,'',10558,Forté,Swerve,None,None,'','',45.0,Yes,30,None,No,Rotating,2.0,180,2,All areas,Yes,None,2,Floor;depot;HP
Roger Wei,'',10541,CarbonPulse Robotics,Swerve,None,None,'','','',Yes,30,None,No,Rotating,1.0,360,8,All areas,Yes,None,2,HP;depot;Floor
Roger Wei,'',11019,X.PLORE,Swerve,6.75:1,4.5,685.0,685.0,48.5,Yes,25-30,L1,No,Rotating,2.0,360,5,All areas,Yes,100,1,Floor;depot;HP
Wang Justin,'',8015,The Cheetahs,swerve,L3,5m/s,690.0,690.0,52.0,Yes,27-28,L1,No,Rotating,1.0,225,4-5,All areas,Yes,90,2,Floor
Wang Justin,'',8214,cyber unicorn,Swerve,Forgot,4.96,690.0,690.0,50.0,Yes,45,None,No,Rotating,'','',18,All areas,Yes,None,3,Floor;depot;HP
Shi Simba,'',11319,Polaris,Swerve,5.89,4.2,700.0,700.0,40.0,Yes,50,None,No,Rotating,2.0,+/- 180,None,All areas,No,120  0（）,1,Floor;HP;depot
Shi Simba,'',11328,SIA,Swerve,'',6-7,660.0,660.0,43.0,Yes,30,L1,No,Rotating,1.0,Fixed,5.5,All areas,Yes,250,3,Floor;depot;HP
Wang Justin,'',7738,Helion,Swerve,None,None,'','',40.0,Yes,10-20,None,No,Rotating,1.0,0,None,Fixed position,Yes,None,'',Floor;depot
Shi Simba,'',11485,Bestarian NextGEN,Swerve,'','',711.0,711.0,30.0,Yes,15,None,No,Rotating,1.0,Fixed,2,Fixed position,No,'',1,Floor;depot;HP
Ding Olivia,'',6766,Atom Storm,Swerve,None,None,687.0,662.0,50.0,Yes,50,L1,No,Rotating,2.0,None,8-10,All areas,Yes,150,2,Floor;depot;HP
Qiu Xinchen,'',11288,Trident,Swerve,None,None,690.0,725.0,43.09,Yes,12,L1,No,Rotating,1.0,0,None,Fixed position,No,None,1,Floor;HP
Qiu Xinchen,'',11352,Cyfly Tigers,Swerve,None,None,'','','',Yes,10-20,None,No,Rotating,1.0,0,None,Fixed position,No,None,1,Floor
